,Ticker,FiscalYear,CashFlow,BookValue,Earnings,5YrReturn%
1346,KHC,2018-12-31,2574000000.0,51657000000.0,-10192000000.0,0.0
1347,KR,2022-01-29,6190000000.0,9452000000.0,1655000000.0,42.13612734450132
1348,KR,2021-01-30,6815000000.0,9576000000.0,2585000000.0,-2.237580014728382
1349,KR,2020-02-01,4664000000.0,8602000000.0,1659000000.0,-15.33252253686696
1350,KR,2019-02-02,4164000000.0,7886000000.0,3110000000.0,69.27689060989962
1351,LHX,2022-12-31,2158000000.0,18523000000.0,1062000000.0,60.538339145546196
1352,LHX,2021-12-31,2687000000.0,19213000000.0,1846000000.0,127.09927311834097
1353,LHX,2020-12-31,2790000000.0,20724000000.0,1119000000.0,138.4096818806844
1354,LH,2022-12-31,1955900000.0,10096600000.0,1279100000.0,48.92493818832116
1355,LH,2021-12-31,3109600000.0,10273400000.0,2377300000.0,144.74996619615405
1356,LH,2020-12-31,2135300000.0,9436600000.0,1556100000.0,64.63115252110913
1357,LH,2019-12-31,1444700000.0,7643900000.0,823800000.0,56.78405575668168
1358,LH,2018-12-31,1305400000.0,7048300000.0,883700000.0,38.29479929338827
1359,LRCX,2022-06-30,3099674000.0,6278366000.0,4605286000.0,226.17313458713312
1360,LRCX,2021-06-30,3588163000.0,6027188000.0,3908458000.0,740.5429358636703
1361,LRCX,2020-06-30,2126451000.0,5172494000.0,2251753000.0,333.9098412592774
1362,LRCX,2019-06-30,3176013000.0,4673865000.0,2191430000.0,201.08354459416833
1363,LRCX,2018-06-30,2655747000.0,6580043000.0,2380681000.0,312.46281392267355
1364,LW,2022-05-29,418100000.0,360500000.0,200900000.0,55.52291886809142
1365,LW,2021-05-30,553200000.0,480600000.0,317800000.0,0.0
1366,LW,2020-05-31,574000000.0,240000000.0,365900000.0,0.0
1367,LW,2019-05-26,680900000.0,-4600000.0,478600000.0,0.0
1368,LW,2018-05-27,481200000.0,-334800000.0,416800000.0,0.0
1369,LVS,2022-12-31,785000000.0,3881000000.0,1832000000.0,-22.379981236850057
1370,LVS,2021-12-31,-1386000000.0,1996000000.0,-961000000.0,-17.211223553890783
1371,LVS,2020-12-31,-1312000000.0,2973000000.0,-1685000000.0,68.77684925338899
1372,LVS,2019-12-31,3038000000.0,5187000000.0,2698000000.0,52.473025327939524
1373,LVS,2018-12-31,4701000000.0,5684000000.0,2413000000.0,-16.907065537202513
1374,LDOS,2022-12-31,986000000.0,4299000000.0,685000000.0,76.49884619919487
1375,LDOS,2021-12-31,1031000000.0,4291000000.0,753000000.0,89.81940352059846
1376,LDOS,2020-12-31,1334000000.0,3862000000.0,628000000.0,179.82685387941947
1377,LDOS,2019-12-31,992000000.0,3413000000.0,667000000.0,246.79514081028583
1378,LDOS,2018-12-31,768000000.0,3308000000.0,581000000.0,77.75617085365722
1379,LEN,2022-11-30,3265668000.0,24100500000.0,4614125000.0,46.35142210795535
1380,LEN,2021-11-30,2532774000.0,20816425000.0,4430111000.0,158.70851029962785
1381,LEN,2020-11-30,4190819000.0,17994856000.0,2465036000.0,54.11795681937862
1382,LEN,2019-11-30,1482343000.0,15949517000.0,1849052000.0,30.502413444731317
1383,LEN,2018-11-30,1691747000.0,14581535000.0,1695831000.0,23.61231391925028
1384,LNC,2022-12-31,4033000000.0,4101000000.0,-2227000000.0,-53.817818460713454
1385,LNC,2021-12-31,151000000.0,20272000000.0,1405000000.0,17.235229113535357
1386,LNC,2020-12-31,534000000.0,22699000000.0,499000000.0,13.536364313559943
1387,LNC,2019-12-31,-2686000000.0,19689000000.0,886000000.0,12.977587062600746
1388,LNC,2018-12-31,1943000000.0,14350000000.0,1641000000.0,8.376397515527945
1389,LIN,2022-12-31,8864000000.0,40028000000.0,4147000000.0,0.0
1390,LIN,2021-12-31,9725000000.0,44035000000.0,3826000000.0,0.0
1391,LIN,2020-12-31,7429000000.0,47317000000.0,2501000000.0,0.0
1392,LIN,2019-12-31,12212000000.0,49074000000.0,2285000000.0,0.0
1393,LIN,2018-12-31,9970000000.0,51596000000.0,4381000000.0,0.0
1394,LYV,2022-12-31,1832063000.0,-367569000.0,295986000.0,63.824289405684745
1395,LYV,2021-12-31,1780568000.0,-582651000.0,-650904000.0,349.96240601503763
1396,LYV,2020-12-31,-1083388000.0,-471772000.0,-1724535000.0,199.06389906389907
1397,LYV,2019-12-31,469783000.0,1145820000.0,69889000.0,173.7265415549598
1398,LYV,2018-12-31,941586000.0,1098981000.0,60249000.0,149.2408906882591
1399,LKQ,2022-12-31,1250000000.0,5453000000.0,1149000000.0,34.538857677902634
1400,LKQ,2021-12-31,1367000000.0,5772000000.0,1091000000.0,96.71059072969314
1401,LKQ,2020-12-31,1444000000.0,5655718000.0,638000000.0,18.933700268216356
1402,LKQ,2019-12-31,1064033000.0,5008876000.0,541260000.0,26.955884950541687
1403,LKQ,2018-12-31,710739000.0,4782298000.0,480118000.0,-27.87227618136984
1404,LMT,2022-12-31,7802000000.0,9266000000.0,5732000000.0,73.00562769315022
1405,LMT,2021-12-31,9221000000.0,10959000000.0,6315000000.0,62.31779626219773
1406,LMT,2020-12-31,8183000000.0,6015000000.0,6833000000.0,86.2104154081733
1407,LMT,2019-12-31,7311000000.0,3127000000.0,6230000000.0,131.2576876973339
1408,LMT,2018-12-31,3138000000.0,1394000000.0,5046000000.0,102.74487959775409
1409,L,2022-12-31,3314000000.0,14349000000.0,1012000000.0,19.556300463581994
1410,L,2021-12-31,2623000000.0,17846000000.0,1578000000.0,27.974039235446114
1411,L,2020-12-31,1745000000.0,17860000000.0,-931000000.0,21.839794271332043
1412,L,2019-12-31,1741000000.0,19119000000.0,932000000.0,29.84278834298711
1413,L,2018-12-31,4222000000.0,18518000000.0,636000000.0,-1.8495330976042013
1414,LOW,2022-01-28,10113000000.0,-4816000000.0,8442000000.0,254.62842102682893
1415,LOW,2021-01-29,11049000000.0,1437000000.0,5835000000.0,155.16935392816197
1416,LOW,2020-01-31,4296000000.0,1972000000.0,4281000000.0,87.74046588825101
1417,LOW,2019-02-01,6193000000.0,3644000000.0,2314000000.0,126.74381971086663
1418,LYB,2022-12-31,6119000000.0,12615000000.0,3889000000.0,17.438520364448532
1419,LYB,2021-12-31,7695000000.0,11858000000.0,5617000000.0,58.3560665044764
